fecha,anio,mes,mes_nombre,mes_orden,dia_semana,hora,hora_num,franja_horaria,area,direccion_hecho,barrio_hecho,clase_de_accidente,gravedad_del_accidente,clase_de_vehiculo,clase_de_servicio,controles_de_transito,coordenada_geografica
2023-03-01,2023,3,Marzo,3,Miércoles,09:50:00,9.0,Mañana,URBANA,TRANSVERSAL 12 CALLE 15,ALAMEDA,CHOQUE,CON HERIDOS,AUTOMOVIL,PUBLICO,HORIZONTALES,POINT (-76.189423 4.100123)
2023-03-02,2023,3,Marzo,3,Jueves,17:40:00,17.0,Tarde,URBANA,TRANSVERSAL 12 CALLE 26A,EL BOLIVAR,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,NINGUNO,POINT (-76.189423 4.100123)
2023-03-03,2023,3,Marzo,3,Viernes,13:40:00,13.0,Tarde,RURAL,VIA TULUA-RIOFRIO CRUCE SAUZAL,ZONA RURAL,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.176842 4.075081)
2023-03-04,2023,3,Marzo,3,Sábado,13:00:00,13.0,Tarde,URBANA,CARRERA 24 ENTRE CALLE 4B Y 5B,ALAMEDA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,HORIZONTALES,POINT (-76.20231 4.101453)
2023-03-05,2023,3,Marzo,3,Domingo,01:00:00,1.0,Madrugada,URBANA,CALLE 21 CARRERA 28A,VIILA NUEVA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.194261 4.089729)
2023-03-06,2023,3,Marzo,3,Lunes,14:00:00,14.0,Tarde,URBANA,CARERRA 18 CALLE 5B,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.206263 4.100901)
2023-03-07,2023,3,Marzo,3,Martes,14:50:00,14.0,Tarde,URBANA,CALLE 26 # 37-80,ALVERNIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.188296 4.083644)
2023-03-07,2023,3,Marzo,3,Martes,16:40:00,16.0,Tarde,URBANA,CARRERA 3 CALLE 22,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.211345 4.096777)
2023-03-08,2023,3,Marzo,3,Miércoles,07:30:00,7.0,Mañana,URBANA,CARRERA 21 CALLE 30A,,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.201594 4.08184)
2023-03-08,2023,3,Marzo,3,Miércoles,08:25:00,8.0,Mañana,URBANA,CARRERA 26 # 31-39,SAJONIA,CHOQUE,CON HERIDOS,CAMIONETA,PUBLICO,,POINT (-76.197708 4.080377)
2023-03-08,2023,3,Marzo,3,Miércoles,10:30:00,10.0,Mañana,URBANA,CALLE 27 CARRERA 31,CESPEDES,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.193723 4.08376)
2023-03-08,2023,3,Marzo,3,Miércoles,12:10:00,12.0,Tarde,URBANA,CARRERA 27 EDS LOS PROFESIONALES,AVENIDA CALI,CHOQUE,SOLO DA„OS,CAMIONETA,PARTICULAR,,POINT (-76.196476 4.083175)
2023-03-08,2023,3,Marzo,3,Miércoles,13:20:00,13.0,Tarde,URBANA,CALLE 40 CARRERA 33,FATIMA,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.194155 4.073019)
2023-03-10,2023,3,Marzo,3,Viernes,13:30:00,13.0,Tarde,URBANA,CARRERA 34 CALLE 22,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.192256 4.07998)
2023-03-10,2023,3,Marzo,3,Viernes,21:00:00,21.0,Noche,URBANA,CALLE 38 CARRERA 22,SAJONIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.201582 4.077316)
2023-03-10,2023,3,Marzo,3,Viernes,23:50:00,23.0,Noche,URBANA,TRANSVERSAL 12 CALLE 6,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.189423 4.100123)
2023-03-11,2023,3,Marzo,3,Sábado,14:25:00,14.0,Tarde,URBANA,CALLE 22 CARRERA 26,TOMAS URIBE,CHOQUE,SOLO DA„OS,CAMPERO,PARTICULAR,SEMAFORO,POINT (-76.196312 4.088564)
2023-03-13,2023,3,Marzo,3,Lunes,09:00:00,9.0,Mañana,URBANA,CALLE 13 # 39-03,MORALES,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,HORIZONTALES,POINT (-76.181396 4.092538)
2023-03-13,2023,3,Marzo,3,Lunes,10:20:00,10.0,Mañana,URBANA,CARRERA 34 CALLE 28,FRANCISCANOS,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.191298 4.082456)
2023-03-16,2023,3,Marzo,3,Jueves,19:00:00,19.0,Noche,URBANA,VIA TULUA LA MARINA KM 3+600,VEREDAL,CHOQUE,CON HERIDOS,BICICLETA,PARTICULAR,,POINT (-76.140337 4.076701)
2023-03-18,2023,3,Marzo,3,Sábado,08:10:00,8.0,Mañana,URBANA,TRANSVERSAL 12 39A-45 TERMINAL TRANSPORTE INTERIOR,TERMINAL DE TRANSPORTE,CHOQUE,SOLO DA„OS,BUSETA,PUBLICO,,POINT (-76.17775 4.097797)
2023-03-18,2023,3,Marzo,3,Sábado,11:30:00,11.0,Mañana,URBANA,CARRERA 26 CALLE 31,LA MERCED,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.197723 4.080715)
2023-03-18,2023,3,Marzo,3,Sábado,21:30:00,21.0,Noche,URBANA,CALLE 26A CARRERA 17,LAS DELICIAS,CHOQUE,SOLO DA„OS,CAMPERO,PARTICULAR,,POINT (-76.204601 4.08703)
2023-03-19,2023,3,Marzo,3,Domingo,02:40:00,2.0,Madrugada,URBANA,CARRERA 26 CALLE 36,SAJONIA,CHOQUE,SOLO DA„OS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.198445 4.076625)
2023-03-19,2023,3,Marzo,3,Domingo,07:40:00,7.0,Mañana,URBANA,CARRERA 40 CALLE 48,,ATROPELLO,CON HERIDOS,CAMIONETA,PARTICULAR,,POINT (-76.196861 4.064075)
2023-03-20,2023,3,Marzo,3,Lunes,02:20:00,2.0,Madrugada,URBANA,CALLE 26 CARERRA 22,,CHOQUE,CON HERIDOS,AUTOMOVIL,PUBLICO,,POINT (-76.210176 4.087819)
2023-03-20,2023,3,Marzo,3,Lunes,08:10:00,8.0,Mañana,URBANA,CALLE 6A FRENTE 22A16,VILLA COLOMBIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,NINGUNO,POINT (-76.200457 4.099415)
2023-03-20,2023,3,Marzo,3,Lunes,14:40:00,14.0,Tarde,URBANA,CALLE 36 CARRERA 34,FATIMA,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.193612 4.076108)
2023-03-20,2023,3,Marzo,3,Lunes,16:05:00,16.0,Tarde,URBANA,CARRERA 26 36-08,SALESIANO,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,,POINT (-76.198559 4.076588)
2023-03-21,2023,3,Marzo,3,Martes,06:55:00,6.0,Mañana,URBANA,CARRERA 27 CALLE 39,PRINCIPE,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,HORIZONTALES,POINT (-76.197982 4.074102)
2023-03-22,2023,3,Marzo,3,Miércoles,13:35:00,13.0,Tarde,URBANA,CALLE 27 CARRERA 25,CENTRO,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.197956 4.084419)
2023-03-23,2023,3,Marzo,3,Jueves,16:00:00,16.0,Tarde,URBANA,CARRERA 36 CALLE 32,COMUNA 1,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,HORIZONTALES,POINT (-76.190795 4.077611)
2023-03-23,2023,3,Marzo,3,Jueves,17:30:00,17.0,Tarde,URBANA,CALLE 32 CARERRA 36 Y 37,COMUNA 1,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,AGENTE,POINT (-76.289383 3.527929)
2023-03-24,2023,3,Marzo,3,Viernes,09:35:00,9.0,Mañana,URBANA,CARRERA 20 25-87,COMUNA 4,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,HORIZONTALES,POINT (-76.20141 4.086405)
2023-03-25,2023,3,Marzo,3,Sábado,12:45:00,12.0,Tarde,URBANA,CARRERA 36  CALLE 28,COMUNA 2,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.189658 4.082114)
